feature,cls,pyradiomics_name,n,pearson_r,ccc,icc,mae,median_abs_err,max_abs_err,median_rel_err,max_rel_err,frac_within_1e6,frac_within_1e3,slope,intercept,mean_pyrad,sd_pyrad,status
gldm_LargeDependenceEmphasis,gldm,original_gldm_LargeDependenceEmphasis,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999998,-2.8072963591784782e-15,41.99933879585536,7.958281615893136,exact
gldm_LargeDependenceHighGrayLevelEmphasis,gldm,original_gldm_LargeDependenceHighGrayLevelEmphasis,410,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0000000000000004,0.0,216.32555826163124,118.63057110496429,exact
gldm_LargeDependenceLowGrayLevelEmphasis,gldm,original_gldm_LargeDependenceLowGrayLevelEmphasis,410,1.0,1.0,1.0,6.834641254033891e-16,0.0,7.105427357601002e-15,0.0,5.716023846149382e-16,1.0,1.0,1.0,-1.4036481795892391e-15,14.953014060152272,9.395636715762976,exact
gldm_LowGrayLevelEmphasis,gldm,original_gldm_LowGrayLevelEmphasis,410,1.0,0.9999999999999999,1.0,1.9124268564427238e-17,0.0,2.220446049250313e-16,0.0,1.0551809817141627e-15,1.0,1.0,0.9999999999999999,-4.386400561216372e-17,0.32489067099062446,0.16142406903155415,exact
gldm_SmallDependenceEmphasis,gldm,original_gldm_SmallDependenceEmphasis,410,1.0,1.0,1.0,6.304238973671811e-18,0.0,1.1102230246251565e-16,0.0,3.2416281730824646e-15,1.0,1.0,0.9999999999999996,-5.483000701520466e-18,0.06637830285696061,0.031437321998709515,exact
gldm_SmallDependenceHighGrayLevelEmphasis,gldm,original_gldm_SmallDependenceHighGrayLevelEmphasis,410,1.0,1.0,1.0,5.940370147003505e-17,0.0,8.881784197001252e-16,0.0,7.91166346082923e-16,1.0,1.0,1.0000000000000002,-1.7545602244865496e-16,0.6355126703975892,0.5129946539058907,exact
gldm_SmallDependenceLowGrayLevelEmphasis,gldm,original_gldm_SmallDependenceLowGrayLevelEmphasis,410,1.0,1.0,1.0,1.954737185125085e-18,0.0,1.0061396160665481e-16,0.0,1.172056571385464e-14,1.0,1.0,1.0,0.0,0.014427912260446008,0.006427574439775707,exact
glrlm_GrayLevelNonUniformity,glrlm,original_glrlm_GrayLevelNonUniformity,410,0.9999670340768134,0.08163672060199059,0.08181999005170822,78.04078984572703,76.58795142252691,197.35262999785056,2.9853671829034965,2.9997659857334296,0.0,0.0,3.998581777224992,-0.38429960359672727,26.154060577898097,8.672769642352355,discrepant
glrlm_GrayLevelNonUniformityNormalized,glrlm,original_glrlm_GrayLevelNonUniformityNormalized,410,0.9997460631432483,0.9996088127129327,0.9996097664559389,0.0014647604754482709,0.0010817888433049538,0.012236095217060317,0.003121642341380816,0.025370970909295514,0.004878048780487805,0.4609756097560976,1.0017134863035202,-0.0018485622345479323,0.3596630572824198,0.07481786766226901,discrepant
glrlm_GrayLevelVariance,glrlm,original_glrlm_GrayLevelVariance,410,0.9998463071599819,0.9998142017441163,0.999814654826602,0.003410787686633746,0.002072973852342841,0.035845759267391086,0.0036009201554683245,0.03514906336716656,0.0024390243902439024,0.3048780487804878,1.0048076518027043,-0.0014464143298618735,0.6638188343441789,0.2761880161430055,discrepant
glrlm_HighGrayLevelRunEmphasis,glrlm,original_glrlm_HighGrayLevelRunEmphasis,410,0.9998947742695168,0.9998573652198884,0.9998577130600956,0.028568460590442216,0.018025596446612946,0.2516932252616364,0.0028916524371371093,0.027822590068884108,0.0,0.18048780487804877,0.9976264578786823,-0.004872296914999481,7.046050003507257,2.590294973245887,discrepant
glrlm_LongRunEmphasis,glrlm,original_glrlm_LongRunEmphasis,410,0.9950077658710659,0.9843282954520219,0.984365921529801,1.1790519842145828,0.9262766811682761,7.254905505907683,0.059628919356462626,0.4594694409612186,0.0,0.0,0.9405805783833445,-0.2008666441471619,16.462384073311718,8.907721521287856,discrepant
glrlm_LongRunHighGrayLevelEmphasis,glrlm,original_glrlm_LongRunHighGrayLevelEmphasis,410,0.9976130085560453,0.9918897497949818,0.991909370851514,6.058646831200297,4.264089904323384,37.277736777236385,0.0603405031369524,0.45936758502287356,0.0,0.0,0.9439412838649573,-1.1858919101047916,86.92234244817976,67.63299998258805,discrepant
glrlm_LongRunLowGrayLevelEmphasis,glrlm,original_glrlm_LongRunLowGrayLevelEmphasis,410,0.9977842637492383,0.9935054208249049,0.9935211586342384,0.40944289455704513,0.2616023225334454,4.713622763892376,0.05918445489007834,0.46717395592063005,0.0,0.0,0.9433810439372734,-0.0920527704950821,5.6057219371960345,5.693791110330681,discrepant
