label,cell_id,classification,x,y,width,height,area,centroid_x,centroid_y
16,38e48bcf-4bdd-4ae9-8f34-4550f62b9f6c,"Unclassified",77.0,459.0,30.0,18.0,398.0,92.54271697998047,468.4924621582031
17,73f14f90-d9c6-433f-a398-14d45c326530,"Unclassified",340.0,25.0,26.0,20.0,391.0,353.3081970214844,35.25447463989258
18,fb57cb7a-a4c6-4e70-8342-c02f095fbde3,"Unclassified",250.0,305.0,26.0,21.0,388.0,263.1314392089844,315.11083984375
19,f24e2493-9368-4866-95d1-5fac4d42adee,"Unclassified",289.0,154.0,21.0,34.0,380.0,300.476318359375,171.27105712890625
20,ac21047e-7f1e-4c0f-998a-33fe5e10de1f,"Unclassified",869.0,644.0,24.0,21.0,378.0,880.611083984375,654.1270141601562
21,76439e7a-1cdc-4f84-be8e-373f9511c98b,"Unclassified",395.0,307.0,24.0,23.0,374.0,407.28076171875,318.45989990234375
22,4b2d84a6-3229-47d7-8ff4-dbc495e87ad2,"Unclassified",172.0,41.0,29.0,18.0,373.0,186.39007568359375,49.95844650268555
23,8fa1175c-dcfa-4699-9d0a-b0d016831f25,"Unclassified",805.0,726.0,18.0,32.0,370.0,814.6080932617188,741.2108154296875
24,130cdf25-666c-4d5f-936e-bb31fb310639,"Unclassified",128.0,373.0,23.0,21.0,365.0,139.55479431152344,383.179443359375
25,6f17bbbc-27ec-4279-b0b9-0d12c566d9e9,"Unclassified",470.0,590.0,16.0,29.0,364.0,477.6758117675781,604.5384521484375
26,f5448c9f-a419-4286-bd85-1ba4fdcb4cbd,"Unclassified",232.0,633.0,15.0,32.0,364.0,239.85165405273438,649.120849609375
27,4d07804c-b9e0-4912-9551-45c661855659,"Unclassified",430.0,542.0,32.0,17.0,363.0,446.96832275390625,549.3622436523438
28,f469e116-bce6-423c-b258-858f870a3c28,"Unclassified",46.0,460.0,25.0,20.0,359.0,58.17131042480469,470.1406555175781
29,40e81313-1d8d-47ab-b518-71ba58ae1c38,"Unclassified",49.0,40.0,17.0,28.0,357.0,57.45518112182617,54.63165283203125
30,b4d81dc6-bf66-4c60-b3bf-925746c06ac0,"Unclassified",187.0,295.0,23.0,21.0,354.0,198.69491577148438,305.2598876953125
31,a8a68ce9-bec0-4175-9ac4-f4ca0ebc6240,"Unclassified",427.0,133.0,20.0,24.0,350.0,436.7971496582031,145.33428955078125
32,b0139b56-78b5-4353-8cc0-a4de5f4d3930,"Unclassified",175.0,282.0,22.0,25.0,350.0,186.182861328125,294.48858642578125
33,82d24d42-99e0-4117-b766-beac628eae75,"Unclassified",431.0,607.0,21.0,20.0,348.0,441.6551818847656,616.9453735351562
34,5707fba1-2e09-44e5-b63d-a6191aad7e7f,"Unclassified",320.0,63.0,17.0,27.0,347.0,328.0504455566406,76.79682922363281
35,87a28354-f9e5-4c07-a82e-7a15b1e9978c,"Unclassified",180.0,232.0,18.0,25.0,345.0,188.98985290527344,244.78115844726562
36,3bb526a4-284f-466f-b8a8-61f1b04086ff,"Unclassified",116.0,169.0,25.0,17.0,344.0,129.39244079589844,177.50291442871094
37,f2d9b668-014d-4139-a53b-d5f5ce8bea07,"Unclassified",216.0,471.0,20.0,23.0,344.0,226.06976318359375,481.8633728027344
38,5337b284-7cae-41ee-b747-b420ff51f970,"Unclassified",795.0,346.0,29.0,23.0,343.0,808.6836547851562,357.147216796875
39,bd471b1e-1e66-4086-b8e3-17a89ab2980d,"Unclassified",92.0,131.0,21.0,21.0,342.0,102.19298553466797,141.5
40,b6314f26-6a05-4154-b87c-187888c222a0,"Unclassified",574.0,360.0,22.0,25.0,340.0,584.7176513671875,372.2823486328125
41,90bd0ad1-317d-4bec-8865-b6fb8c673bd5,"Unclassified",169.0,266.0,22.0,24.0,337.0,180.60089111328125,278.0400695800781
42,71a508dc-00f5-4165-8a2d-00208979fdad,"Unclassified",20.0,671.0,21.0,25.0,337.0,29.82047462463379,684.5118408203125
43,2421d70f-631a-499a-9ce4-ee913d1dfebd,"Unclassified",103.0,186.0,24.0,19.0,336.0,115.20237731933594,195.16964721679688
44,42c22bed-98dd-42a0-8c64-06d19e0eaeb4,"Unclassified",226.0,303.0,19.0,21.0,336.0,235.7886962890625,313.38690185546875
45,5dfc9bd5-44d3-43ed-8c99-8e1f89bd9ab5,"Unclassified",584.0,372.0,19.0,25.0,335.0,593.5985107421875,385.24627685546875
46,1e6e34cf-2cc7-45a0-870c-04c28c93756a,"Unclassified",604.0,672.0,26.0,22.0,332.0,616.4699096679688,682.8945922851562
47,811e54a4-2a13-429f-a96d-09da42bc7abc,"Unclassified",114.0,458.0,23.0,19.0,329.0,125.27203369140625,467.7462158203125
48,d10c4d62-8b9a-46a8-a7b0-56a451fa1912,"Unclassified",104.0,658.0,21.0,21.0,328.0,114.29573059082031,668.51220703125
49,9071fadc-a19f-4b06-bea3-7babc79906aa,"Unclassified",751.0,203.0,24.0,17.0,324.0,762.7716064453125,211.13580322265625
50,4d9b6a14-1294-4414-a318-af07a0d00afd,"Unclassified",855.0,370.0,23.0,22.0,324.0,866.6173095703125,381.3580322265625
51,a13697b5-0bf6-4e46-abd4-bcafc54f40e1,"Unclassified",42.0,186.0,22.0,19.0,323.0,52.79411697387695,195.45046997070312
52,1fe5cc0e-1656-45a7-b1ce-69a656585d35,"Unclassified",520.0,539.0,33.0,23.0,322.0,535.62109375,551.9658203125
53,d56c2a18-b156-43de-aceb-e3644ec23f3c,"Unclassified",72.0,379.0,21.0,21.0,319.0,82.82601928710938,389.4090881347656
54,a8c024c8-799e-43fa-97a3-8e6e5100b0c9,"Unclassified",774.0,306.0,14.0,28.0,315.0,781.420654296875,320.21429443359375
55,b0a7ff4c-9743-4bfd-8636-273ddc5c04f6,"Unclassified",783.0,63.0,30.0,19.0,314.0,796.5,74.33757781982422
56,1cbc285a-3419-4b9b-b226-4adcc737ebd4,"Unclassified",418.0,164.0,18.0,25.0,314.0,426.7388610839844,176.2707061767578
57,cfe981a1-fc10-4aaf-a9f0-eff661f77c25,"Unclassified",504.0,715.0,20.0,22.0,313.0,513.2763671875,725.091064453125
58,f45cf482-0848-4f9a-b71e-adf063eabf4c,"Unclassified",189.0,127.0,23.0,20.0,312.0,200.07691955566406,137.25640869140625
59,eac4d93b-6250-4bc8-ba7e-07ddf1f6f06a,"Unclassified",603.0,641.0,16.0,24.0,312.0,610.7083129882812,652.9967651367188
60,efcc581d-cdc0-4a48-b78d-4a766e934082,"Unclassified",866.0,625.0,26.0,16.0,311.0,878.6543579101562,634.0595092773438
