feature,cls,pyradiomics_name,n,pearson_r,ccc,icc,mae,median_abs_err,max_abs_err,mean_difference,sd_difference,loa_lower,loa_upper,median_rel_err,max_rel_err,frac_within_1e6,frac_within_1e3,slope,intercept,mean_pyrad,sd_pyrad,status
glrlm_LongRunHighGrayLevelEmphasis,glrlm,original_glrlm_LongRunHighGrayLevelEmphasis,410,0.9976130085560453,0.9918897497949818,0.991909370851514,6.058646831200297,4.264089904323384,37.277736777236385,-6.058646831200297,5.829681663625001,-17.4848228919053,5.367529229504705,0.0603405031369524,0.45936758502287356,0.0,0.0,0.9439412838649573,-1.1858919101047916,86.92234244817976,67.63299998258805,discrepant
glrlm_LongRunLowGrayLevelEmphasis,glrlm,original_glrlm_LongRunLowGrayLevelEmphasis,410,0.9977842637492383,0.9935054208249049,0.9935211586342384,0.40944289455704513,0.26160232253344406,4.713622763892377,-0.40944289455704513,0.482470553379418,-1.3550851791807044,0.5361993900666142,0.05918445489007834,0.46717395592063016,0.0,0.0,0.9433810439372734,-0.0920527704950821,5.6057219371960345,5.693791110330681,discrepant
glrlm_LowGrayLevelRunEmphasis,glrlm,original_glrlm_LowGrayLevelRunEmphasis,410,0.9998611735508988,0.9998160017065065,0.9998164504004592,0.0014293106518422944,0.0008465797353418014,0.014144827974304386,0.0009618213665629073,0.00203756619534913,-0.003031808376321387,0.004955451109447202,0.003232294821897845,0.04161753575618072,0.0,0.5536585365853659,1.0046852273047926,-0.0003737406033468862,0.2850580949495714,0.11705328416869552,discrepant
glrlm_RunEntropy,glrlm,original_glrlm_RunEntropy,410,0.9713220350944336,0.78785483755176,0.788262706136757,0.2499527587262151,0.23585847835563323,0.7695103816326014,0.2499527587262151,0.08804741485036657,0.07737982561949663,0.4225256918329336,0.06402598981226224,0.30328068172323114,0.0,0.0,0.9557370452534747,0.41089856608737474,3.6361288640314786,0.3693356762124836,discrepant
glrlm_RunLengthNonUniformity,glrlm,original_glrlm_RunLengthNonUniformity,410,0.9987795480784415,0.15593120436528352,0.15625288285955125,57.298224165995244,53.25612636108224,196.90720389748518,57.298224165995244,29.008679957600442,0.4412114490983754,114.15523688289211,2.787223435920705,2.9743326959349803,0.0,0.0,3.9411034576171815,-2.8781126982888834,20.460462452768546,9.829603250149054,discrepant
glrlm_RunLengthNonUniformityNormalized,glrlm,original_glrlm_RunLengthNonUniformityNormalized,410,0.9946851897721036,0.991051266776227,0.9910728981103015,0.00792005672036073,0.00619989986194569,0.09779586306117641,-0.006166050017724106,0.00960200529067675,-0.024985980387450535,0.012653880352002322,0.02393964707104431,0.43659620291731677,0.0,0.06097560975609756,1.0410924688690435,-0.017024490686789736,0.2642440565854076,0.0831512832544727,discrepant
glrlm_RunPercentage,glrlm,original_glrlm_RunPercentage,410,1.0,1.0,1.0,1.6382559265810236e-17,0.0,1.1102230246251565e-16,-1.3539305178355568e-19,4.117252342249764e-17,-8.083353895987894e-17,8.056275285631182e-17,0.0,6.192229827486788e-16,1.0,1.0,1.0000000000000007,4.386400561216375e-17,0.3655996766661455,0.08604183539346268,exact
glrlm_RunVariance,glrlm,original_glrlm_RunVariance,410,0.9966645609514313,0.99435828435055,0.9943719671893031,0.25613921205059154,0.15278243286641402,3.6712640562435244,-0.24590021305491613,0.34811789893741696,-0.9282112949722534,0.4364108688624211,0.02706643327818037,0.4198550984515813,0.0,0.012195121951219513,0.9677310857563414,-0.0318898028138815,6.63209206932304,4.063882671335706,discrepant
glrlm_ShortRunEmphasis,glrlm,original_glrlm_ShortRunEmphasis,410,0.9966772329310164,0.9912623492119329,0.9912834747944567,0.011420981648771332,0.009287793694038954,0.05461036542806619,0.011413522342996163,0.00903936491646223,-0.006303632893269807,0.029130677579262132,0.021803510685446913,0.11630289786652623,0.0,0.04878048780487805,1.0075257460989948,0.007828742453082328,0.47633548126116104,0.10919321707763249,discrepant
glrlm_ShortRunHighGrayLevelEmphasis,glrlm,original_glrlm_ShortRunHighGrayLevelEmphasis,410,0.9993888590691489,0.9988847047602538,0.9988874219660756,0.06698926227732142,0.04638053608428239,0.3761042132675607,0.06300426773915768,0.07238052753813665,-0.07886156623559015,0.20487010171390552,0.013881008961975454,0.125537420523079,0.0,0.05609756097560976,1.0061946857889688,0.03760087995702606,4.100835562534663,2.0230152731072426,discrepant
glrlm_ShortRunLowGrayLevelEmphasis,glrlm,original_glrlm_ShortRunLowGrayLevelEmphasis,410,0.9962611310720266,0.9891287270225414,0.9891549547628592,0.0039041304357246673,0.0029434756794469025,0.026769179011438077,0.003868638875446876,0.0037359561060033067,-0.003453835092319605,0.011191112843213356,0.03114480289609302,0.16629362821486698,0.0,0.15853658536585366,1.0530746130677915,-0.0017203060865275818,0.10530354606327258,0.03532751558378437,discrepant
glszm_GrayLevelNonUniformity,glszm,original_glszm_GrayLevelNonUniformity,410,0.9999999999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9999999999999999,1.0527361346919292e-15,4.1064299451537964,2.0159881656712044,exact
